noc21_code_name,posting_count,total_vacancies,valid_salary_postings,median_hourly_salary,salary_coverage_percentage,cluster,cluster_name
Accommodation service managers,77,83,61,31.0,79.2,0,"Moderate demand, strong salary coverage"
"Accommodation, travel, tourism and related services supervisors",102,124,100,26.502403846153847,98.0,0,"Moderate demand, strong salary coverage"
Accounting and related clerks,848,872,475,23.5,56.0,0,"Moderate demand, strong salary coverage"
Accounting technicians and bookkeepers,1223,1301,1006,28.5,82.3,0,"Moderate demand, strong salary coverage"
Administrative assistants,2281,2478,1751,25.64,76.8,2,"Very high demand, lower salary"
Administrative officers,1724,2133,1116,28.85,64.7,2,"Very high demand, lower salary"
Administrators - post-secondary education and vocational training,23,23,15,45.141903846153845,65.2,0,"Moderate demand, strong salary coverage"
"Advertising, marketing and public relations managers",650,669,176,35.68393028846154,27.1,1,"Higher salary, limited salary coverage"
"Agricultural representatives, consultants and specialists",61,65,12,31.10576923076923,19.7,1,"Higher salary, limited salary coverage"
Agricultural service contractors and farm supervisors,82,177,77,22.5,93.9,0,"Moderate demand, strong salary coverage"
"Air pilots, flight engineers and flying instructors",42,101,31,50.0,73.8,0,"Moderate demand, strong salary coverage"
Aircraft mechanics and aircraft inspectors,35,112,22,39.0,62.9,0,"Moderate demand, strong salary coverage"
Animal health technologists and veterinary technicians,94,105,75,27.0,79.8,0,"Moderate demand, strong salary coverage"
Appliance servicers and repairers,29,43,22,26.75,75.9,0,"Moderate demand, strong salary coverage"
Architects,333,338,16,38.814807692307696,4.8,1,"Higher salary, limited salary coverage"
Architectural technologists and technicians,62,64,38,31.25,61.3,0,"Moderate demand, strong salary coverage"
Architecture and science managers,24,27,3,33.62,12.5,1,"Higher salary, limited salary coverage"
Artisans and craftspersons,22,22,21,21.0,95.5,0,"Moderate demand, strong salary coverage"
Assemblers and inspectors of other wood products,41,189,36,20.0,87.8,0,"Moderate demand, strong salary coverage"
Audiologists and speech-language pathologists,160,165,86,46.08653846153846,53.8,1,"Higher salary, limited salary coverage"
Authors and writers (except technical),53,53,38,26.857115384615383,71.7,0,"Moderate demand, strong salary coverage"
"Auto body collision, refinishing and glass technicians and damage repair estimators",211,290,178,28.990000000000002,84.4,0,"Moderate demand, strong salary coverage"
Automotive and heavy truck and equipment parts installers and servicers,146,198,102,21.0,69.9,0,"Moderate demand, strong salary coverage"
"Automotive service technicians, truck and bus mechanics and mechanical repairers",1161,1468,558,33.83,48.1,1,"Higher salary, limited salary coverage"
Bakers,384,640,305,19.0,79.4,0,"Moderate demand, strong salary coverage"
"Banking, credit and other investment managers",177,177,17,43.269230769230774,9.6,1,"Higher salary, limited salary coverage"
"Banking, insurance and other financial clerks",52,52,11,32.93269230769231,21.2,1,"Higher salary, limited salary coverage"
Bartenders,282,315,188,17.4,66.7,0,"Moderate demand, strong salary coverage"
Biological technologists and technicians,37,63,24,23.665,64.9,0,"Moderate demand, strong salary coverage"
Biologists and related scientists,49,79,24,24.259615384615387,49.0,0,"Moderate demand, strong salary coverage"
Bricklayers,32,82,29,41.5,90.6,0,"Moderate demand, strong salary coverage"
"Bus drivers, subway operators and other transit operators",240,362,173,22.2,72.1,0,"Moderate demand, strong salary coverage"
Business development officers and market researchers and analysts,601,602,74,34.64668269230769,12.3,1,"Higher salary, limited salary coverage"
Business systems specialists,170,176,48,43.4,28.2,1,"Higher salary, limited salary coverage"
Butchers - retail and wholesale,109,218,69,23.0,63.3,0,"Moderate demand, strong salary coverage"
By-law enforcement and other regulatory officers,32,32,28,37.215,87.5,0,"Moderate demand, strong salary coverage"
